source_id,physical_pdf_page,printed_page_numbers,section_headings,subsection_headings,table_figure_ids,topic_tags,has_numerical_content,has_recommendation_language,layout_notes
V10EN,1,,Cover,,,cover;version,yes,no,Front cover; version 10.0; no printed page number
V10EN,2,,Cover,,,cover;version,yes,no,Repeat/inside cover; version 10.0; no printed page number
V10EN,3,2,PREFACE,,,preface;CMSC;legal_notice,yes,yes,Single-page layout; printed page 2 at footer
V10EN,4,3,"QUICK GUIDE TO THE CMSC CONTRAST AGENT GUIDELINES, VERSION 10;PREFACE",Terminology;SECTION A;SECTION B;SECTION C,,quick_guide;overview,yes,no,Quick guide overview; printed page 3
V10EN,5,4,CONTENTS,TERMINOLOGY;A. GENERAL ADVERSE REACTIONS;B. RENAL ADVERSE REACTIONS,,table_of_contents,yes,yes,TOC part 1; printed page 4
V10EN,6,5,CONTENTS;Terminology: Contrast agents and contrast media,C. MISCELLANEOUS;D. QUESTIONNAIRES/LETTERS;E. APPENDIX,,table_of_contents;terminology,yes,yes,TOC part 2 + terminology definitions; printed page 5
V10EN,7,6,A. GENERAL ADVERSE REACTIONS,A.1. ACUTE ADVERSE REACTIONS,,acute_adverse_reactions;classification;incidence,yes,yes,Printed page 6
V10EN,8,7,A. GENERAL ADVERSE REACTIONS,A.1.1. Acute adverse reactions to iodine- and gadolinium-based contrast agents,,acute_adverse_reactions;risk_factors;prevention;iodine;gadolinium,yes,yes,Printed page 7; risk factors and prevention bullets
V10EN,9,8,A. GENERAL ADVERSE REACTIONS,A.1.2. Management of acute adverse reactions,,management;acute_adverse_reactions;anaphylaxis,yes,yes,Printed page 8; management intro and first reaction types
V10EN,10,9,A. GENERAL ADVERSE REACTIONS,A.1.2. Management of acute adverse reactions,,management;nausea;urticaria;bronchospasm;laryngeal_edema;adrenaline,yes,yes,Printed page 9; drug doses
V10EN,11,10,A. GENERAL ADVERSE REACTIONS,A.1.2. Management of acute adverse reactions,,management;vasovagal;hypotension;anaphylactic_shock;unconsciousness,yes,yes,Printed page 10
V10EN,12,11,A. GENERAL ADVERSE REACTIONS,A.1.2. Management;A.1.3. Warming iodine-based contrast medium;A.1.4. Extravascular administration;A.1.5. Fasting,,management;documentation;warming;extravascular;fasting,yes,yes,Printed page 11
V10EN,13,12,A. GENERAL ADVERSE REACTIONS,A.2. LATE ADVERSE REACTIONS,,late_adverse_reactions;skin;iodine,yes,yes,Printed page 12
V10EN,14,13,A. GENERAL ADVERSE REACTIONS,A.3. VERY LATE ADVERSE REACTIONS;A.3.1. thyrotoxicosis,,very_late_adverse_reactions;thyrotoxicosis;iodine,yes,yes,Printed page 13
V10EN,15,14,A. GENERAL ADVERSE REACTIONS,A.3.2. nephrogenic systemic fibrosis (NSF),,NSF;gadolinium;renal_failure,yes,yes,Printed page 14
V10EN,16,15,A. GENERAL ADVERSE REACTIONS,GADOLINIUM-BASED CONTRAST AGENTS: Risk classification;Highest risk of NSF;Intermediate risk of NSF,,NSF;risk_classification;gadolinium;EMA,yes,yes,Printed page 15; risk classification table-like blocks
V10EN,17,16,A. GENERAL ADVERSE REACTIONS,Lowest risk of NSF;Recommendations for all gadolinium agents,,NSF;gadolinium;recommendations,yes,yes,Printed page 16
V10EN,18,17,"B. RENAL ADVERSE REACTIONS (POST-CONTRAST ACUTE KIDNEY INJURY, PC-AKI)",Definitions;B.1. MEASUREMENT OF RENAL FUNCTION,,PC-AKI;eGFR;renal_function;definitions,yes,yes,Printed page 17
V10EN,19,18,B. RENAL ADVERSE REACTIONS (PC-AKI),B.2. RENAL ADVERSE REACTIONS TO IODINE-BASED CONTRAST MEDIA;RISK FACTORS;B.2.1. Time of Referral,,PC-AKI;iodine;risk_factors;eGFR;referral,yes,yes,Printed page 18
V10EN,20,19,B. RENAL ADVERSE REACTIONS (PC-AKI),EMERGENCY EXAMINATION;B.2.2. Before the Examination,,PC-AKI;hydration;eGFR;emergency;metformin,yes,yes,Printed page 19; hydration volumes/timing
V10EN,21,20,B. RENAL ADVERSE REACTIONS (PC-AKI),EMERGENCY EXAMINATION;B.2.3. Time of examination;B.2.4. After the Examination,,PC-AKI;iodine;hydration;eGFR,yes,yes,Printed page 20
V10EN,22,21,B. RENAL ADVERSE REACTIONS (PC-AKI),B.2.5. Multiple myeloma patients;B.3. RENAL ADVERSE REACTIONS TO GADOLINIUM-BASED CONTRAST MEDIA,,myeloma;PC-AKI;gadolinium;renal,yes,yes,Printed page 21
V10EN,23,22,B. RENAL ADVERSE REACTIONS (PC-AKI),B.4. PATIENTS WITH DIABETES MELLITUS TAKING METFORMIN;B.4.1;B.4.2,,metformin;diabetes;iodine;gadolinium;eGFR,yes,yes,Printed page 22
V10EN,24,23,B. RENAL ADVERSE REACTIONS (PC-AKI),B.5. DIALYSIS AND CONTRAST MEDIUM ADMINISTRATION,,dialysis;hemodialysis;CAPD;iodine;gadolinium,yes,yes,Printed page 23
V10EN,25,24,B. RENAL ADVERSE REACTIONS (PC-AKI),B.6. Same-day iodine and gadolinium,,timing;iodine;gadolinium;same_day,yes,yes,Printed page 24
V10EN,26,25,B. RENAL ADVERSE REACTIONS (PC-AKI),B.7. Interval between iodine injections;B.8. Interval between gadolinium injections,,timing;interval;iodine;gadolinium,yes,yes,Printed page 25
V10EN,27,26,C. MISCELLANEOUS,C.1. CONTRAST MEDIUM EXTRAVASATION,,extravasation;injury;prevention;treatment,yes,yes,Printed page 26
V10EN,28,27,C. MISCELLANEOUS,C.2. PULMONARY EFFECTS;C.3. EFFECTS ON BLOOD AND ENDOTHELIUM;C.3.1. Thrombosis,,pulmonary;bronchospasm;thrombosis;blood;endothelium,yes,yes,Printed page 27
