topic_id,topic_label_source_native,source_ids,atlas_ids,notes
T-COVER,Cover / Umschlag / Version 10.0,V10EN;V10DE,V10EN-C1-001;V10EN-C1-002;V10EN-C1-070;V10DE-C1-001;V10DE-C1-002;V10DE-C1-067,
T-PREFACE,Preface / Einleitung,V10EN;V10DE,V10EN-C1-003;V10DE-C1-003;V10DE-C1-004,
T-QUICKGUIDE,Quick guide / Kurzanleitung,V10EN;V10DE,V10DE-C1-004;V10EN-C1-004;V10DE-C1-003,
T-TOC,Contents / Inhalt,V10EN;V10DE,V10EN-C1-005;V10EN-C1-006;V10DE-C1-005;V10DE-C1-006,
T-TERMINOLOGY,Terminology: contrast agent vs contrast medium / Terminologie,V10EN;V10DE,V10EN-C1-006;V10DE-C1-007,
T-ACUTE-AR,Acute adverse reactions / Akute unerwünschte Wirkungen,V10EN;V10DE,V10EN-C1-007;V10EN-C1-008;V10EN-C1-009;V10EN-C1-010,
T-ACUTE-MGMT,Management of acute adverse reactions / Ersttherapie,V10EN;V10DE,V10EN-C1-010;V10EN-C1-011;V10EN-C1-012;V10EN-C1-031;V10DE-C1-011;V10DE-C1-012;V10DE-C1-029;V10EN-C1-013;V10EN-C1-014;V10EN-C1-015;V10EN-C1-016;V10DE-C1-010;V10DE-C1-013;V10DE-C1-014;V10DE-C1-015;V10DE-C1-016;V10DE-C1-017,
T-WARMING,Warming iodine-based contrast medium,V10EN,V10EN-C1-014;V10EN-C1-013;V10EN-C1-015;V10EN-C1-016,Present as A.1.3 in EN; DE A.1.3 is Dokumentation (numbering differs) — presence note only
T-EXTRAVASC,Extravascular administration / Extravaskuläre Verabreichung,V10EN;V10DE,V10EN-C1-015;V10DE-C1-016;V10EN-C1-013;V10EN-C1-014;V10EN-C1-016,
T-FASTING,Fasting before contrast / Nüchtern,V10EN;V10DE,V10EN-C1-016;V10DE-C1-017;V10EN-C1-013;V10EN-C1-014;V10EN-C1-015;V10DE-C1-013;V10DE-C1-014;V10DE-C1-015;V10DE-C1-016,
T-LATE-AR,Late adverse reactions / Späte unerwünschte Wirkungen,V10EN;V10DE,V10EN-C1-017;V10EN-C1-018;V10EN-C1-019;V10DE-C1-018,
T-THYROTOX,Thyrotoxicosis / Thyreotoxikose,V10EN;V10DE,V10EN-C1-019;V10DE-C1-020;V10EN-C1-018;V10DE-C1-019;V10DE-C1-021,
T-NSF,Nephrogenic systemic fibrosis (NSF) / Nephrogene Systemische Fibrose,V10EN;V10DE,V10EN-C1-020;V10EN-C1-022;V10EN-C1-023;V10EN-C1-024;V10EN-C1-025;V10DE-C1-021;V10DE-C1-022;V10DE-C1-023;V10EN-C1-021;V10DE-C1-019;V10DE-C1-020;V10DE-C1-024;V10DE-C1-025,
T-GBCA-RISK,Gadolinium NSF risk classification / NSF-Risikoklassifikation,V10EN;V10DE,V10DE-C1-022;V10EN-C1-021;V10EN-C1-022;V10EN-C1-023,
T-PC-AKI,Post-contrast acute kidney injury (PC-AKI),V10EN;V10DE,V10EN-C1-026;V10EN-C1-028;V10DE-C1-024;V10EN-C1-027;V10EN-C1-029;V10EN-C1-030;V10EN-C1-031;V10EN-C1-032;V10EN-C1-033;V10EN-C1-034;V10EN-C1-035;V10DE-C1-023;V10DE-C1-025;V10DE-C1-026;V10DE-C1-027;V10DE-C1-028;V10DE-C1-029;V10DE-C1-030;V10DE-C1-031;V10DE-C1-032;V10DE-C1-033;V10DE-C1-034;V10DE-C1-035;V10DE-C1-036,
T-EGFR,Measurement of renal function / eGFR,V10EN;V10DE,V10EN-C1-027;V10EN-C1-029;V10EN-C1-037;V10DE-C1-025;V10EN-C1-026;V10EN-C1-028;V10EN-C1-030;V10EN-C1-031;V10EN-C1-032;V10EN-C1-033;V10EN-C1-036;V10EN-C1-038;V10DE-C1-023;V10DE-C1-024;V10DE-C1-026;V10DE-C1-027;V10DE-C1-028;V10DE-C1-029;V10DE-C1-030;V10DE-C1-031,
T-HYDRATION,Preventive hydration / Präventive Hydrierung,V10EN;V10DE,V10EN-C1-030;V10EN-C1-031;V10DE-C1-028;V10DE-C1-029;V10EN-C1-032;V10EN-C1-033;V10DE-C1-030;V10DE-C1-031,
T-MYELOMA,Multiple myeloma / Multiples Myelom,V10EN;V10DE,V10EN-C1-034;V10DE-C1-032;V10EN-C1-035;V10DE-C1-033;V10DE-C1-034;V10DE-C1-035;V10DE-C1-036,
T-METFORMIN,Metformin and diabetes mellitus,V10EN;V10DE,V10EN-C1-036;V10EN-C1-037;V10DE-C1-034;V10EN-C1-030;V10EN-C1-031;V10EN-C1-038;V10EN-C1-052;V10DE-C1-032;V10DE-C1-033;V10DE-C1-035;V10DE-C1-036,
T-DIALYSIS,Dialysis and contrast / Dialyse,V10EN;V10DE,V10EN-C1-039;V10DE-C1-037;V10DE-C1-032;V10DE-C1-033;V10DE-C1-034;V10DE-C1-035;V10DE-C1-036;V10DE-C1-038;V10DE-C1-039;V10DE-C1-040,
T-TIMING-SAME-DAY,Same-day iodine and gadolinium,V10EN;V10DE,V10EN-C1-029;V10EN-C1-031;V10DE-C1-038;V10EN-C1-040;V10EN-C1-041;V10EN-C1-042;V10DE-C1-037;V10DE-C1-039;V10DE-C1-040,
T-TIMING-INTERVAL,Intervals between contrast injections,V10EN;V10DE,V10DE-C1-039;V10DE-C1-040;V10EN-C1-041;V10EN-C1-042;V10DE-C1-037;V10DE-C1-038,
T-EXTRAVASATION,Contrast medium extravasation / Extravasate,V10EN;V10DE,V10EN-C1-044;V10DE-C1-042;V10EN-C1-043;V10DE-C1-013;V10DE-C1-014;V10DE-C1-015;V10DE-C1-016;V10DE-C1-017;V10DE-C1-041;V10DE-C1-043;V10DE-C1-044;V10DE-C1-045,
T-PULMONARY,Pulmonary effects / Pulmonale Wirkungen,V10EN;V10DE,V10EN-C1-045;V10DE-C1-043;V10EN-C1-046;V10EN-C1-047;V10DE-C1-041;V10DE-C1-042;V10DE-C1-044;V10DE-C1-045,
