atlas_id,source_id,physical_pdf_page,printed_page_numbers,exact_value,unit,qualifier,immediate_context,section_topic
V10EN-NUM-001,V10EN,3,2,10,,,"PREFACE The Contrast Media Safety Committee is proud to present the 10th version of its Contrast Agent Guidelines. We started in 1994 and we have on average updated the booklet every 2 to 3 years. Over the years, more than 200,000",PREFACE The Contrast Media Safety Committee is proud to present the
V10EN-NUM-002,V10EN,3,2,1994,,,"PREFACE The Contrast Media Safety Committee is proud to present the 10th version of its Contrast Agent Guidelines. We started in 1994 and we have on average updated the booklet every 2 to 3 years. Over the years, more than 200,000 copies of the booklet have been printed and it has been transl",PREFACE The Contrast Media Safety Committee is proud to present the
V10EN-NUM-003,V10EN,3,2,2,,more than,"dia Safety Committee is proud to present the 10th version of its Contrast Agent Guidelines. We started in 1994 and we have on average updated the booklet every 2 to 3 years. Over the years, more than 200,000 copies of the booklet have been printed and it has been translated into many languages. Although the contrast age",PREFACE The Contrast Media Safety Committee is proud to present the
V10EN-NUM-004,V10EN,3,2,3,years,more than,"afety Committee is proud to present the 10th version of its Contrast Agent Guidelines. We started in 1994 and we have on average updated the booklet every 2 to 3 years. Over the years, more than 200,000 copies of the booklet have been printed and it has been translated into many languages. Although the contrast agents in curr",PREFACE The Contrast Media Safety Committee is proud to present the
V10EN-NUM-005,V10EN,3,2,"200,000",copies,more than,"the 10th version of its Contrast Agent Guidelines. We started in 1994 and we have on average updated the booklet every 2 to 3 years. Over the years, more than 200,000 copies of the booklet have been printed and it has been translated into many languages. Although the contrast agents in current use have been on the market for many y",PREFACE The Contrast Media Safety Committee is proud to present the
V10EN-NUM-006,V10EN,3,2,10,,,"rast agents in current use have been on the market for many years, minor changes occur in their adverse reaction pattern and new observations are reported. The 10th version of the Guidelines includes updated sections on acute adverse reactions, gadolinium contrast agents and other gadolinium issues, post contrast acute k",d. The 10th version of the Guidelines includes updated sections on acute adverse rea
V10EN-NUM-007,V10EN,3,2,2018,,,"in your practice and that it will benefit all our patients. Comments and questions are welcome at esursecretary@esur.org Contrast Media Safety Committee March 2018 Henrik S. Thomsen, Chairman NOTE: CMSC guidelines are based on evidence in the literature whenever possible. Where there is insufficient published evidence, gu",terminology a the start of the Guidelines. We hope that you like the ne
V10EN-NUM-008,V10EN,3,2,2,,,L NOTICE: The Committee and authors of the 10.0 contrast media guidelines claim no responsibility for the content of the translated versions of the guidelines. 2 PREFACE,"e. Some CMSC guidelines may differ from the Summary of Product Characteristics (SPC,"
V10EN-NUM-009,V10EN,4,3,10,,,"QUICK GUIDE TO THE CMSC CONTRAST AGENT GUIDELINES, VERSION 10 Terminology: Contrast agents and contrast media SECTION A: GENERAL ADVERSE REACTIONS Includes material on: • Acute adverse reactions to iodine- and gadolinium-",
V10EN-NUM-010,V10EN,4,3,3,,,• Contrast medium extravasation. • Pregnancy and lactation. • Ultrasound contrast agents. • Barium contrast media. • Off-label use of contrast agents. PREFACE 3,PREFACE 3
V10EN-NUM-011,V10EN,5,4,8,,,6 A.1. ACUTE ADVERSE REACTIONS 6 A.1.1. Acute adverse reactions to iodine- and gadolinium-based contrast agents 7 A.1.2. Management of acute adverse reactions 8 A.1.3. Warming iodine-based contrast medium before administration 11 A.1.4. Extravascular administration of an iodine-based contrast medium 11 A.1.5. Fasting b,A.1.2. Management of acute adverse reactions 8 A.1.3. Warming iodine-based contrast medi
V10EN-NUM-012,V10EN,5,4,11,,before,adverse reactions 8 A.1.3. Warming iodine-based contrast medium before administration 11 A.1.4. Extravascular administration of an iodine-based contrast medium 11 A.1.5. Fasting before administration of contrast agents 11 A.2. LATE ADVERSE REACTIONS 12 A.3. VERY LATE ADVERSE REACTIONS 13 A.3.1. Very late adverse reaction,A.1.4. Extravascular administration of an iodine-based contrast medium 11 A.1.5. Fasting
V10EN-NUM-013,V10EN,5,4,11,,,dium before administration 11 A.1.4. Extravascular administration of an iodine-based contrast medium 11 A.1.5. Fasting before administration of contrast agents 11 A.2. LATE ADVERSE REACTIONS 12 A.3. VERY LATE ADVERSE REACTIONS 13 A.3.1. Very late adverse reactions to iodine-based contrast media: thyrotoxicosis 13 A.3.2.,A.1.4. Extravascular administration of an iodine-based contrast medium 11 A.1.5. Fasting
V10EN-NUM-014,V10EN,5,4,12,,,.1.4. Extravascular administration of an iodine-based contrast medium 11 A.1.5. Fasting before administration of contrast agents 11 A.2. LATE ADVERSE REACTIONS 12 A.3. VERY LATE ADVERSE REACTIONS 13 A.3.1. Very late adverse reactions to iodine-based contrast media: thyrotoxicosis 13 A.3.2. Very late adverse reactions to,A.2. LATE ADVERSE REACTIONS 12 A.3. VERY LATE ADVERSE REACTIONS 13 A.3.1. Very late ad
V10EN-NUM-015,V10EN,5,4,13,,,f an iodine-based contrast medium 11 A.1.5. Fasting before administration of contrast agents 11 A.2. LATE ADVERSE REACTIONS 12 A.3. VERY LATE ADVERSE REACTIONS 13 A.3.1. Very late adverse reactions to iodine-based contrast media: thyrotoxicosis 13 A.3.2. Very late adverse reactions to gadolinium-based contrast agents: ne,A.2. LATE ADVERSE REACTIONS 12 A.3. VERY LATE ADVERSE REACTIONS 13 A.3.1. Very late ad
V10EN-NUM-016,V10EN,5,4,13,,,agents 11 A.2. LATE ADVERSE REACTIONS 12 A.3. VERY LATE ADVERSE REACTIONS 13 A.3.1. Very late adverse reactions to iodine-based contrast media: thyrotoxicosis 13 A.3.2. Very late adverse reactions to gadolinium-based contrast agents: nephrogenic systemic fibrosis (NSF) 14 B. RENAL ADVERSE REACTIONS (POST-CONTRAST ACUTE,A.2. LATE ADVERSE REACTIONS 12 A.3. VERY LATE ADVERSE REACTIONS 13 A.3.1. Very late ad
V10EN-NUM-017,V10EN,5,4,17,,,"se reactions to gadolinium-based contrast agents: nephrogenic systemic fibrosis (NSF) 14 B. RENAL ADVERSE REACTIONS (POST-CONTRAST ACUTE KIDNEY INJURY, PC-AKI) 17 B.1. MEASUREMENT OF RENAL FUNCTION 17 B.2. RENAL ADVERSE REACTIONS TO IODINE-BASED CONTRAST MEDIA 18 B.2.1. Time of Referral 18 B.2.2. Before the Examination 1","B. RENAL ADVERSE REACTIONS (POST-CONTRAST ACUTE KIDNEY INJURY, PC-AKI) 17 B.1. MEASU"
V10EN-NUM-018,V10EN,5,4,18,,,"ERSE REACTIONS (POST-CONTRAST ACUTE KIDNEY INJURY, PC-AKI) 17 B.1. MEASUREMENT OF RENAL FUNCTION 17 B.2. RENAL ADVERSE REACTIONS TO IODINE-BASED CONTRAST MEDIA 18 B.2.1. Time of Referral 18 B.2.2. Before the Examination 19 B.2.3. Time of examination 20 B.2.4. After the Examination 20 B.2.5. Multiple myeloma patients 21 B",B.2. RENAL ADVERSE REACTIONS TO IODINE-BASED CONTRAST MEDIA 18 B.2.1. Time of Referral
V10EN-NUM-019,V10EN,5,4,18,,Before,"ST ACUTE KIDNEY INJURY, PC-AKI) 17 B.1. MEASUREMENT OF RENAL FUNCTION 17 B.2. RENAL ADVERSE REACTIONS TO IODINE-BASED CONTRAST MEDIA 18 B.2.1. Time of Referral 18 B.2.2. Before the Examination 19 B.2.3. Time of examination 20 B.2.4. After the Examination 20 B.2.5. Multiple myeloma patients 21 B.3. RENAL ADVERSE REACTIONS",B.2. RENAL ADVERSE REACTIONS TO IODINE-BASED CONTRAST MEDIA 18 B.2.1. Time of Referral
V10EN-NUM-020,V10EN,5,4,19,,Before,7 B.1. MEASUREMENT OF RENAL FUNCTION 17 B.2. RENAL ADVERSE REACTIONS TO IODINE-BASED CONTRAST MEDIA 18 B.2.1. Time of Referral 18 B.2.2. Before the Examination 19 B.2.3. Time of examination 20 B.2.4. After the Examination 20 B.2.5. Multiple myeloma patients 21 B.3. RENAL ADVERSE REACTIONS TO GADOLINIUM-BASED CONTRAST MED,B.2.2. Before the Examination 19 B.2.3. Time of examination 20 B.2.4. After the Examinat
V10EN-NUM-021,V10EN,5,4,20,,After,NCTION 17 B.2. RENAL ADVERSE REACTIONS TO IODINE-BASED CONTRAST MEDIA 18 B.2.1. Time of Referral 18 B.2.2. Before the Examination 19 B.2.3. Time of examination 20 B.2.4. After the Examination 20 B.2.5. Multiple myeloma patients 21 B.3. RENAL ADVERSE REACTIONS TO GADOLINIUM-BASED CONTRAST MEDIA 21 B.4. PATIENTS WITH DIABE,B.2.2. Before the Examination 19 B.2.3. Time of examination 20 B.2.4. After the Examinat
V10EN-NUM-022,V10EN,5,4,20,,After,CTIONS TO IODINE-BASED CONTRAST MEDIA 18 B.2.1. Time of Referral 18 B.2.2. Before the Examination 19 B.2.3. Time of examination 20 B.2.4. After the Examination 20 B.2.5. Multiple myeloma patients 21 B.3. RENAL ADVERSE REACTIONS TO GADOLINIUM-BASED CONTRAST MEDIA 21 B.4. PATIENTS WITH DIABETES MELLITUS TAKING METFORMIN 22,B.2.2. Before the Examination 19 B.2.3. Time of examination 20 B.2.4. After the Examinat
V10EN-NUM-023,V10EN,5,4,21,,,A 18 B.2.1. Time of Referral 18 B.2.2. Before the Examination 19 B.2.3. Time of examination 20 B.2.4. After the Examination 20 B.2.5. Multiple myeloma patients 21 B.3. RENAL ADVERSE REACTIONS TO GADOLINIUM-BASED CONTRAST MEDIA 21 B.4. PATIENTS WITH DIABETES MELLITUS TAKING METFORMIN 22 B.4.1. Iodine-based contrast media,B.2.5. Multiple myeloma patients 21 B.3. RENAL ADVERSE REACTIONS TO GADOLINIUM-BASED CON
V10EN-NUM-024,V10EN,5,4,21,,,2.3. Time of examination 20 B.2.4. After the Examination 20 B.2.5. Multiple myeloma patients 21 B.3. RENAL ADVERSE REACTIONS TO GADOLINIUM-BASED CONTRAST MEDIA 21 B.4. PATIENTS WITH DIABETES MELLITUS TAKING METFORMIN 22 B.4.1. Iodine-based contrast media 22 B.4.2. Gadolinium-based contrast media 22 B.5. DIALYSIS AND CONT,B.2.5. Multiple myeloma patients 21 B.3. RENAL ADVERSE REACTIONS TO GADOLINIUM-BASED CON
V10EN-NUM-025,V10EN,5,4,22,,,20 B.2.5. Multiple myeloma patients 21 B.3. RENAL ADVERSE REACTIONS TO GADOLINIUM-BASED CONTRAST MEDIA 21 B.4. PATIENTS WITH DIABETES MELLITUS TAKING METFORMIN 22 B.4.1. Iodine-based contrast media 22 B.4.2. Gadolinium-based contrast media 22 B.5. DIALYSIS AND CONTRAST MEDIUM ADMINISTRATION 23 B.6. CAN IODINE- AND GADOLI,B.4. PATIENTS WITH DIABETES MELLITUS TAKING METFORMIN 22 B.4.1. Iodine-based contrast
V10EN-NUM-026,V10EN,5,4,22,,,B.3. RENAL ADVERSE REACTIONS TO GADOLINIUM-BASED CONTRAST MEDIA 21 B.4. PATIENTS WITH DIABETES MELLITUS TAKING METFORMIN 22 B.4.1. Iodine-based contrast media 22 B.4.2. Gadolinium-based contrast media 22 B.5. DIALYSIS AND CONTRAST MEDIUM ADMINISTRATION 23 B.6. CAN IODINE- AND GADOLINIUM-BASED CONTRAST AGENTS SAFELY BE G,B.4. PATIENTS WITH DIABETES MELLITUS TAKING METFORMIN 22 B.4.1. Iodine-based contrast
