atlas_id,source_id,physical_pdf_page,printed_page_numbers,exact_phrase,surrounding_context,section_topic
V10EN-REC-001,V10EN,3,2,may,"the literature whenever possible. Where there is insufficient published evidence, guidelines are based on clinical consensus within the Committee. Some CMSC guidelines may differ from the Summary of Product Characteristics (SPC, label), and/or guidelines drawn up by national and other radiological bodies. LEGAL NOTICE: The Committee and",PREFACE
V10EN-REC-002,V10EN,5,4,SHOULD,GADOLINIUM-BASED CONTRAST AGENTS SAFELY BE GIVEN ON THE SAME DAY FOR ROUTINE EXAMINATIONS? 24 B.7. HOW LONG SHOULD THERE BE BETWEEN TWO IODINE-BASED CONTRAST MEDIUM INJECTIONS FOR ROUTINE EXAMINATIONS? 25 B.8. HOW LONG SHO,B.7. HOW LONG SHOULD THERE BE BETWEEN
V10EN-REC-003,V10EN,5,4,SHOULD,ULD THERE BE BETWEEN TWO IODINE-BASED CONTRAST MEDIUM INJECTIONS FOR ROUTINE EXAMINATIONS? 25 B.8. HOW LONG SHOULD THERE BE BETWEEN TWO GADOLINIUM-BASED CONTRAST AGENT INJECTIONS FOR ROUTINE EXAMINATIONS? 25 4 CONTENTS,B.8. HOW LONG SHOULD THERE BE BETWEEN TWO
V10EN-REC-004,V10EN,6,5,should,"d for X-ray, MR and ultrasound contrast compounds. A contrast medium is a substance which alters the contrast in X-ray images by altering transmission of the X-ray beam. This term should be reserved for X-ray contrast compounds, e.g. iodine-based, barium, air and carbon dioxide. CONTENTS 5",E. APPENDIX 40
V10EN-REC-005,V10EN,7,6,may,"and lowest after ultrasound agents. Classification Acute reactions are either allergy-like, hypersensitivity reactions or chemotoxic responses. Allergy-like reactions may or may not be true IgE mediated allergy. Hypersensitivity/ Grade Chemotoxic Allergy-like (Ring and",A.1. ACUTE ADVERSE REACTIONS
V10EN-REC-006,V10EN,7,6,may not,"west after ultrasound agents. Classification Acute reactions are either allergy-like, hypersensitivity reactions or chemotoxic responses. Allergy-like reactions may or may not be true IgE mediated allergy. Hypersensitivity/ Grade Chemotoxic Allergy-like (Ring and",A.1. ACUTE ADVERSE REACTIONS
V10EN-REC-007,V10EN,7,6,may,Respiratory arrest Grade 4 Convulsion Cardiac arrest Grade 4 Note: • Be aware that what at first appears to be a mild reaction may develop into a more serious reaction. • Not all symptoms experienced by patients in the hour after contrast agent injections are adverse reactions to the contrast,A.1. ACUTE ADVERSE REACTIONS
V10EN-REC-008,V10EN,7,6,may,"rious reaction. • Not all symptoms experienced by patients in the hour after contrast agent injections are adverse reactions to the contrast agent. • Patient anxiety may cause symptoms after contrast agent administation (Lalli effect). • When a new contrast agent is first introduced to a department, adverse effects tend to be over-",A.1. ACUTE ADVERSE REACTIONS
V10EN-REC-009,V10EN,8,7,Consider,ular agents. To reduce the risk of an acute reaction to iodine- and gadolinium-based agents For all patients • Use a non-ionic iodine-based contrast medium. For patients at • Consider an alternative test not requiring a increased risk of contrast agent of similar class. reaction (see risk • For previous contrast agent reactors: use factors above) a d,A.1.1. Acute adverse reactions to iodine- and gadolinium-
V10EN-REC-010,V10EN,8,7,preferably,"requiring a increased risk of contrast agent of similar class. reaction (see risk • For previous contrast agent reactors: use factors above) a different contrast agent, preferably after consultation with a specialist in drug allergy. • Premedication is not recommended because there is not good e",A.1.1. Acute adverse reactions to iodine- and gadolinium-
