atlas_id,source_id,item_type,title,physical_pdf_page,printed_page_numbers,locator_notes
V10EN-C1-001,V10EN,chapter,Cover / Title,1,,Front cover version 10.0
V10EN-C1-002,V10EN,chapter,Cover / Title (repeat),2,,Second cover page
V10EN-C1-003,V10EN,chapter,PREFACE,3,2,"Henrik S. Thomsen, Chairman, March 2018"
V10EN-C1-004,V10EN,section,"QUICK GUIDE TO THE CMSC CONTRAST AGENT GUIDELINES, VERSION 10",4,3,Overview of sections A–C
V10EN-C1-005,V10EN,chapter,CONTENTS,5,4,TOC start
V10EN-C1-006,V10EN,section,TERMINOLOGY: CONTRAST AGENTS AND CONTRAST MEDIA,6,5,Definitions of contrast agent vs contrast medium; continues from TOC page
V10EN-C1-007,V10EN,chapter,A. GENERAL ADVERSE REACTIONS,7,6,Chapter A start
V10EN-C1-008,V10EN,section,A.1. ACUTE ADVERSE REACTIONS,7,6,Definition: within 1 hour of injection
V10EN-C1-009,V10EN,subsection,A.1.1. Acute adverse reactions to iodine- and gadolinium-based contrast agents,8,7,"Risk factors, prevention, classification"
V10EN-C1-010,V10EN,subsection,A.1.2. Management of acute adverse reactions,9,8,"Same management for iodine, gadolinium, ultrasound"
V10EN-C1-011,V10EN,management_block,Management: Nausea/vomiting; Urticaria; Bronchospasm; Laryngeal edema; Hypotension,10,9,First-line treatment block with drug doses
V10EN-C1-012,V10EN,management_block,Management: Vasovagal reaction; Anaphylactic shock; Unconsciousness; Seizures,11,10,Continued acute management algorithms
V10EN-C1-013,V10EN,recommendation_block,"After moderate/severe reaction — record, allergy referral, future prophylaxis notes",12,11,End of A.1.2
V10EN-C1-014,V10EN,subsection,A.1.3. Warming iodine-based contrast medium before administration,12,11,
V10EN-C1-015,V10EN,subsection,A.1.4. Extravascular administration of an iodine-based contrast medium,12,11,
V10EN-C1-016,V10EN,subsection,A.1.5. Fasting before administration of contrast agents,12,11,
V10EN-C1-017,V10EN,section,A.2. LATE ADVERSE REACTIONS,13,12,Definition: 1 hour to 1 week
V10EN-C1-018,V10EN,section,A.3. VERY LATE ADVERSE REACTIONS,14,13,Definition: usually more than 1 week
V10EN-C1-019,V10EN,subsection,A.3.1. Very late adverse reactions to iodine-based contrast media: thyrotoxicosis,14,13,
V10EN-C1-020,V10EN,subsection,A.3.2. Very late adverse reactions to gadolinium-based contrast agents: NSF,15,14,
V10EN-C1-021,V10EN,table,GADOLINIUM-BASED CONTRAST AGENTS: Risk classification (based on laboratory data) and recommendations,16,15,Highest / Intermediate / Lowest risk blocks — table-like
V10EN-C1-022,V10EN,recommendation_block,Highest risk of NSF — agents and recommendations,16,15,"Gadodiamide, gadopentetate, gadoversetamide"
V10EN-C1-023,V10EN,recommendation_block,Intermediate risk of NSF — agents and recommendations,16,15,"Gadobenate, gadoxetate"
V10EN-C1-024,V10EN,recommendation_block,Lowest risk of NSF — agents and recommendations,17,16,"Gadobutrol, gadoterate, gadoteridol"
V10EN-C1-025,V10EN,recommendation_block,Recommendations for all gadolinium-based contrast agents,17,16,Record name/dose; never give in NSF history etc.
V10EN-C1-026,V10EN,chapter,"B. RENAL ADVERSE REACTIONS (POST-CONTRAST ACUTE KIDNEY INJURY, PC-AKI)",18,17,Chapter B start; definitions CI-AKI/PC-AKI
V10EN-C1-027,V10EN,section,B.1. MEASUREMENT OF RENAL FUNCTION,18,17,eGFR preferred
V10EN-C1-028,V10EN,section,B.2. RENAL ADVERSE REACTIONS TO IODINE-BASED CONTRAST MEDIA,19,18,Risk factors for PC-AKI
V10EN-C1-029,V10EN,subsection,B.2.1. Time of Referral,19,18,eGFR timing rules
V10EN-C1-030,V10EN,subsection,B.2.2. Before the Examination,20,19,Hydration protocols; emergency pathway
V10EN-C1-031,V10EN,management_block,Preventive hydration regimens (iv saline / sodium bicarbonate),20,19,Numerical volumes and timing
V10EN-C1-032,V10EN,subsection,B.2.3. Time of examination,21,20,Lowest effective dose; avoid repeat within 48-72h notes
V10EN-C1-033,V10EN,subsection,B.2.4. After the Examination,21,20,
V10EN-C1-034,V10EN,subsection,B.2.5. Multiple myeloma patients,22,21,
V10EN-C1-035,V10EN,section,B.3. RENAL ADVERSE REACTIONS TO GADOLINIUM-BASED CONTRAST MEDIA,22,21,
V10EN-C1-036,V10EN,section,B.4. PATIENTS WITH DIABETES MELLITUS TAKING METFORMIN,23,22,
V10EN-C1-037,V10EN,subsection,B.4.1. Iodine-based contrast media,23,22,eGFR thresholds for metformin
V10EN-C1-038,V10EN,subsection,B.4.2. Gadolinium-based contrast media,23,22,
V10EN-C1-039,V10EN,section,B.5. DIALYSIS AND CONTRAST MEDIUM ADMINISTRATION,24,23,Hemodialysis / CAPD guidance
V10EN-C1-040,V10EN,section,B.6. CAN IODINE- AND GADOLINIUM-BASED CONTRAST AGENTS SAFELY BE GIVEN ON THE SAME DAY FOR ROUTINE EXAMINATIONS?,25,24,
V10EN-C1-041,V10EN,section,B.7. HOW LONG SHOULD THERE BE BETWEEN TWO IODINE-BASED CONTRAST MEDIUM INJECTIONS FOR ROUTINE EXAMINATIONS?,26,25,
V10EN-C1-042,V10EN,section,B.8. HOW LONG SHOULD THERE BE BETWEEN TWO GADOLINIUM-BASED CONTRAST AGENT INJECTIONS FOR ROUTINE EXAMINATIONS?,26,25,
V10EN-C1-043,V10EN,chapter,C. MISCELLANEOUS,27,26,Chapter C start
V10EN-C1-044,V10EN,section,C.1. CONTRAST MEDIUM EXTRAVASATION,27,26,Type of injuries; risk patients; treatment
V10EN-C1-045,V10EN,section,C.2. PULMONARY EFFECTS OF IODINE-BASED CONTRAST MEDIA,28,27,
V10EN-C1-046,V10EN,section,C.3. EFFECTS OF CONTRAST MEDIA ON BLOOD AND ENDOTHELIUM,28,27,
V10EN-C1-047,V10EN,subsection,C.3.1. Thrombosis,28,27,
V10EN-C1-048,V10EN,subsection,C.3.2. Sickle Cell Disease,29,28,C.3.2.1 iodine; C.3.2.2 gadolinium
V10EN-C1-049,V10EN,section,C.4. CONTRAST AGENTS AND CATECHOLAMINE PRODUCING TUMORS (PHEOCHROMOCYTOMA AND PARAGANGLIOMA),29,28,
V10EN-C1-050,V10EN,section,C.5. PREGNANCY AND LACTATION,30,29,Two-column iodine vs gadolinium table layout
V10EN-C1-051,V10EN,table,Pregnancy and lactation: iodine-based vs gadolinium-based,30,29,Comparative guidance table
V10EN-C1-052,V10EN,section,C.6. INTERACTION WITH OTHER DRUGS AND CLINICAL TESTS,31,30,
V10EN-C1-053,V10EN,section,C.7. GADOLINIUM ISSUES,32,31,
V10EN-C1-054,V10EN,subsection,C.7.1. Gadolinium retention in the brain,32,31,Detection; features; relation to GBCA
V10EN-C1-055,V10EN,subsection,"C.7.2. Gadolinium retention in bone, liver and skin",33,32,
V10EN-C1-056,V10EN,subsection,C.7.3. Gadolinium contamination of the environment,33,32,
V10EN-C1-057,V10EN,section,C.8. SAFETY OF ULTRASOUND CONTRAST AGENTS,34,33,
V10EN-C1-058,V10EN,section,C.9. SAFETY OF BARIUM CONTRAST MEDIA,35,34,Statements / Recommended action layout
V10EN-C1-059,V10EN,section,C.10. PEDIATRIC USE OF CONTRAST AGENTS,36,35,
V10EN-C1-060,V10EN,section,C.11. OFF-LABEL USE OF CONTRAST AGENTS,36,35,
V10EN-C1-061,V10EN,chapter,D. QUESTIONNAIRES/LETTERS,37,36,
V10EN-C1-062,V10EN,section,D.1. AN EXAMPLE OF A SUITABLE LETTER FOR THE PATIENT TO TAKE TO THE ALLERGY CONSULTATION,37,36,Spelling ALLGERGY in source
V10EN-C1-063,V10EN,table,Ring and Messmer classification grades 1–4,38,37,Grade table in letter template
V10EN-C1-064,V10EN,section,D.2. QUESTIONNAIRE FOR IODINE-BASED CONTRAST MEDIA ADMINISTRATION,39,38,Referring clinician questionnaire
V10EN-C1-065,V10EN,section,D.3. QUESTIONNAIRE FOR GADOLINIUM-BASED CONTRAST AGENT ADMINISTRATION,40,39,Referring clinician questionnaire
V10EN-C1-066,V10EN,chapter,E. APPENDIX,41,40,
V10EN-C1-067,V10EN,section,Appendix 1. Publications from the ESUR Contrast Media Safety Committee,41,40,Bibliography start
V10EN-C1-068,V10EN,section,Appendix 2. Contrast Media Safety Committee - Spring 2018,44,43,Membership list
V10EN-C1-069,V10EN,chapter,NOTES,45,44,Blank notes page
V10EN-C1-070,V10EN,chapter,Back cover,46,,www.esur.org
V10DE-C1-001,V10DE,chapter,Umschlag / Titel,1,,Front cover
V10DE-C1-002,V10DE,chapter,Umschlag / Titel (Wiederholung),2,,Second cover
V10DE-C1-003,V10DE,chapter,Einleitung,3,,TWO-UP left; no printed page number visible
V10DE-C1-004,V10DE,section,"Kurzanleitung zur CMSC Leitlinie für Kontrastmittel, Version 10.0",3,,TWO-UP right
V10DE-C1-005,V10DE,chapter,INHALT,4,,TWO-UP TOC; no clear printed page numbers
